domain,source_type,indicator,supplier_name,category,jurisdiction_hint,verification_needed
tomingroep.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
tomingroep.nl,Hosting hint,Cloudflare,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
dekringloper.nl,MX,10 d318582.a.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,MX,20 d318582.b.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,SPF include,_spf.kprs.online,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,SPF include,_spf.zivver.com,Zivver,secure mail,Nederlandse leverancier,ja
dekringloper.nl,SPF include,spf.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,External script,gmpg.org,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,External script,use.fontawesome.com,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
dekringloper.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
dekringloper.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
ofgv.nl,MX,0 ofgv-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
ofgv.nl,SPF include,_spf.iprox.nl,Onbekend,onbekend,Onbekend,ja
ofgv.nl,SPF include,spf.afas.online,Onbekend,onbekend,Onbekend,ja
ofgv.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
ofgv.nl,SPF include,spf.topdesk.net,TOPdesk,servicedesk/SaaS,Nederlandse leverancier,ja
ofgv.nl,External script,maxcdn.bootstrapcdn.com,Onbekend,onbekend,Onbekend,ja
ofgv.nl,Tracker hint,piwik,Onbekend,onbekend,Onbekend,ja
ofgv.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,MX,30 spamfilter02.ezorg.nl,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,MX,20 spamfilter01.ezorg.nl,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,MX,10 spamfilter.ezorg.nl,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,SPF include,_spf.ezorg.nl,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,SPF include,spf.hosting.deventit.net,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
archiefgooienvechtstreek.nl,External script,cdnjs.cloudflare.com,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
archiefgooienvechtstreek.nl,External script,siteimproveanalytics.com,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,Tracker hint,siteimprove,Onbekend,onbekend,Onbekend,ja
archiefgooienvechtstreek.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,MX,0 metropoolregioamsterdam-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
metropoolregioamsterdam.nl,SPF include,_spf.argewebhosting.nl,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF include,servers.mcsv.net,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
metropoolregioamsterdam.nl,SPF ip4,194.165.34.0/24,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF ip4,46.17.24.3,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF ip4,46.17.25.3,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF ip4,85.17.186.78,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,SPF ip6,2001:1af8:4200:b1a0:1:1:1:8,Onbekend,onbekend,Onbekend,ja
metropoolregioamsterdam.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
bngbank.nl,MX,5 bngbank-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
bngbank.nl,SPF include,_spf.emply.com,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF include,_spf.relay.sdworx.com,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF include,_spf.salesforce.com,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF include,spf.datab.nl,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
bngbank.nl,SPF ip4,62.58.82.129,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF ip4,62.58.82.130,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF ip4,62.58.82.151,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF ip4,62.58.82.152,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF ip4,62.58.82.178,Onbekend,onbekend,Onbekend,ja
bngbank.nl,SPF ip4,77.60.52.197,Onbekend,onbekend,Onbekend,ja
bngbank.nl,Tracker hint,piwik,Onbekend,onbekend,Onbekend,ja
bngbank.nl,Tracker hint,youtube.com,YouTube,video embed,VS leverancier,ja
bngbank.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
randmeren.com,MX,10 primary.yourfilter.nl,Onbekend,onbekend,Onbekend,ja
randmeren.com,MX,20 fallback.yourfilter.nl,Onbekend,onbekend,Onbekend,ja
randmeren.com,SPF include,_spf.yourfilter.nl,Onbekend,onbekend,Onbekend,ja
randmeren.com,External script,cdn.jsdelivr.net,Onbekend,onbekend,Onbekend,ja
randmeren.com,External script,code.jquery.com,Onbekend,onbekend,Onbekend,ja
randmeren.com,External script,consent.cookiebot.com,Onbekend,onbekend,Onbekend,ja
randmeren.com,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
randmeren.com,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
randmeren.com,External script,maps.googleapis.com,Google APIs,third-party script,VS leverancier,ja
randmeren.com,External script,s7.addthis.com,Onbekend,onbekend,Onbekend,ja
randmeren.com,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
randmeren.com,Tracker hint,google-analytics.com,Google Analytics,analytics/tracking,VS leverancier,ja
randmeren.com,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
randmeren.com,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
gnr.nl,MX,0 gnr-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
gnr.nl,SPF include,mailplus.nl,Onbekend,onbekend,Onbekend,ja
gnr.nl,SPF include,spf.afas.online,Onbekend,onbekend,Onbekend,ja
gnr.nl,SPF include,spf.exclaimer.net,Onbekend,onbekend,Onbekend,ja
gnr.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
gnr.nl,SPF include,w3s.easyxs.net,Onbekend,onbekend,Onbekend,ja
gnr.nl,SPF ip4,212.7.211.214,Onbekend,onbekend,Onbekend,ja
gnr.nl,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
gnr.nl,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
gnr.nl,External script,gmpg.org,Onbekend,onbekend,Onbekend,ja
gnr.nl,External script,www.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
gnr.nl,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
gnr.nl,External script,www.gstatic.com,Google Static,third-party script,VS leverancier,ja
gnr.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
gnr.nl,Tracker hint,vimeo.com,Onbekend,onbekend,Onbekend,ja
gnr.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
visitgooivecht.nl,MX,10 visitgooivecht-nl.mail.eo.outlook.com,Onbekend,onbekend,Onbekend,ja
visitgooivecht.nl,SPF include,_spf.zivver.com,Zivver,secure mail,Nederlandse leverancier,ja
visitgooivecht.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
visitgooivecht.nl,SPF ip4,149.210.189.175/32,Onbekend,onbekend,Onbekend,ja
visitgooivecht.nl,SPF ip4,77.95.101.107/32,Onbekend,onbekend,Onbekend,ja
visitgooivecht.nl,SPF ip4,77.95.97.228/32,Onbekend,onbekend,Onbekend,ja
visitgooivecht.nl,SPF ip4,77.95.97.236/32,Onbekend,onbekend,Onbekend,ja
visitgooivecht.nl,External script,assets.plaece.nl,Onbekend,onbekend,Onbekend,ja
visitgooivecht.nl,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
visitgooivecht.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
visitgooivecht.nl,Tracker hint,youtube.com,YouTube,video embed,VS leverancier,ja
visitgooivecht.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
huizenduurzaam.nl,MX,0 huizenduurzaam-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
huizenduurzaam.nl,SPF include,eu.mailgun.org,Onbekend,onbekend,Onbekend,ja
huizenduurzaam.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
huizenduurzaam.nl,External script,cdnjs.cloudflare.com,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
huizenduurzaam.nl,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
huizenduurzaam.nl,External script,gmpg.org,Onbekend,onbekend,Onbekend,ja
huizenduurzaam.nl,External script,huizenduurzaam.email-provider.eu,Onbekend,onbekend,Onbekend,ja
huizenduurzaam.nl,External script,unpkg.com,Onbekend,onbekend,Onbekend,ja
huizenduurzaam.nl,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
huizenduurzaam.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
huizenduurzaam.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
energieloketten.nl,MX,0 energieloketten-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
energieloketten.nl,SPF include,mail.zendesk.com,Onbekend,onbekend,Onbekend,ja
energieloketten.nl,SPF include,mailgun.org,Onbekend,onbekend,Onbekend,ja
energieloketten.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
energieloketten.nl,Hosting hint,Cloudflare,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
regionaalenergieloket.nl,MX,1 aspmx.l.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
regionaalenergieloket.nl,MX,5 alt1.aspmx.l.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
regionaalenergieloket.nl,SPF include,_u.regionaalenergieloket.nl._spf.dmarcli.com,Onbekend,onbekend,Onbekend,ja
regionaalenergieloket.nl,Hosting hint,Cloudflare,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
archiefweb.eu,MX,10 smtp.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
archiefweb.eu,SPF include,146030695.spf08.hubspotemail.net,Onbekend,onbekend,Onbekend,ja
archiefweb.eu,SPF include,_spf.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
archiefweb.eu,SPF include,_spf.transip.email,Onbekend,onbekend,Onbekend,ja
archiefweb.eu,SPF include,spf.spamx.denit.net,Onbekend,onbekend,Onbekend,ja
archiefweb.eu,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
archiefweb.eu,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
archiefweb.eu,External script,gmpg.org,Onbekend,onbekend,Onbekend,ja
archiefweb.eu,Hosting hint,Cloudflare,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
readspeaker.com,MX,10 aspmx.l.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
readspeaker.com,MX,50 alt1.aspmx.l.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
readspeaker.com,MX,50 alt2.aspmx.l.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
readspeaker.com,MX,100 aspmx2.googlemail.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,MX,100 aspmx3.googlemail.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,SPF include,_spf.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
readspeaker.com,SPF include,_spf.salesforce.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,SPF include,_spf1.readspeaker.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,SPF include,aspmx.pardot.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,SPF include,spf.eu.exclaimer.net,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,cdn.jsdelivr.net,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,cdnjs.cloudflare.com,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
readspeaker.com,External script,eu-assets.i.posthog.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
readspeaker.com,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
readspeaker.com,External script,ingest.promptwatch.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,kit.fontawesome.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,use.typekit.net,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
readspeaker.com,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
readspeaker.com,Tracker hint,hotjar.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,Tracker hint,readspeaker,Onbekend,onbekend,Onbekend,ja
readspeaker.com,Tracker hint,youtube.com,YouTube,video embed,VS leverancier,ja
readspeaker.com,Hosting hint,Cloudflare,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
